id,pid,shortname,name,level,pinyin,code,zip_code,first,lng,lat
3,2,东城,东城区,3,dongcheng,10,100010,D,116.41005,39.93157
4,2,西城,西城区,3,xicheng,10,100032,X,116.36003,39.9305
5,2,朝阳,朝阳区,3,chaoyang,10,100020,C,116.48548,39.9484
6,2,丰台,丰台区,3,fengtai,10,100071,F,116.28625,39.8585
7,2,石景山,石景山区,3,shijingshan,10,100043,S,116.2229,39.90564
8,2,海淀,海淀区,3,haidian,10,100089,H,116.29812,39.95931
9,2,门头沟,门头沟区,3,mentougou,10,102300,M,116.10137,39.94043
10,2,房山,房山区,3,fangshan,10,102488,F,116.14257,39.74786
11,2,通州,通州区,3,tongzhou,10,101149,T,116.65716,39.90966
12,2,顺义,顺义区,3,shunyi,10,101300,S,116.65417,40.1302
13,2,昌平,昌平区,3,changping,10,102200,C,116.2312,40.22072
14,2,大兴,大兴区,3,daxing,10,102600,D,116.34149,39.72668
15,2,怀柔,怀柔区,3,huairou,10,101400,H,116.63168,40.31602
16,2,平谷,平谷区,3,pinggu,10,101200,P,117.12133,40.14056
17,2,密云,密云县,3,miyun,10,101500,M,116.84295,40.37618
18,2,延庆,延庆县,3,yanqing,10,102100,Y,115.97494,40.45672
21,20,和平,和平区,3,heping,22,300041,H,117.21456,39.11718
22,20,河东,河东区,3,hedong,22,300171,H,117.22562,39.12318
23,20,河西,河西区,3,hexi,22,300202,H,117.22327,39.10959
24,20,南开,南开区,3,nankai,22,300110,N,117.15074,39.13821
25,20,河北,河北区,3,hebei,22,300143,H,117.19697,39.14816
26,20,红桥,红桥区,3,hongqiao,22,300131,H,117.15145,39.16715
27,20,东丽,东丽区,3,dongli,22,300300,D,117.31436,39.0863
28,20,西青,西青区,3,xiqing,22,300380,X,117.00927,39.14123
29,20,津南,津南区,3,jinnan,22,300350,J,117.38537,38.99139
30,20,北辰,北辰区,3,beichen,22,300400,B,117.13217,39.22131
31,20,武清,武清区,3,wuqing,22,301700,W,117.04443,39.38415
32,20,宝坻,宝坻区,3,baodi,22,301800,B,117.3103,39.71761
33,20,滨海新区,滨海新区,3,binhaixinqu,22,300451,B,117.70162,39.02668
34,20,宁河,宁河县,3,ninghe,22,301500,N,117.8255,39.33048
35,20,静海,静海县,3,jinghai,22,301600,J,116.97436,38.94582
36,20,蓟县,蓟县,3,jixian,22,301900,J,117.40799,40.04567
39,38,长安,长安区,3,chang'an,311,50011,C,114.53906,38.03665
40,38,桥西,桥西区,3,qiaoxi,311,50091,Q,114.46977,38.03221
41,38,新华,新华区,3,xinhua,311,50051,X,114.46326,38.05088
42,38,井陉矿区,井陉矿区,3,jingxingkuangqu,311,50100,J,114.06518,38.06705
43,38,裕华,裕华区,3,yuhua,311,50031,Y,114.53115,38.00604
44,38,藁城,藁城区,3,gaocheng,311,52160,,114.84671,38.02162
45,38,鹿泉,鹿泉区,3,luquan,311,50200,L,114.31347,38.08782
46,38,栾城,栾城区,3,luancheng,311,51430,,114.64834,37.90022
47,38,井陉,井陉县,3,jingxing,311,50300,J,114.14257,38.03688
48,38,正定,正定县,3,zhengding,311,50800,Z,114.57296,38.14445
49,38,行唐,行唐县,3,xingtang,311,50600,X,114.55316,38.43654
50,38,灵寿,灵寿县,3,lingshou,311,50500,L,114.38259,38.30845
51,38,高邑,高邑县,3,gaoyi,311,51330,G,114.61142,37.61556
52,38,深泽,深泽县,3,shenze,311,52560,S,115.20358,38.18353
53,38,赞皇,赞皇县,3,zanhuang,311,51230,Z,114.38775,37.66135
54,38,无极,无极县,3,wuji,311,52460,W,114.97509,38.17653
55,38,平山,平山县,3,pingshan,311,50400,P,114.186,38.25994
56,38,元氏,元氏县,3,yuanshi,311,51130,Y,114.52539,37.76668
57,38,赵县,赵县,3,zhaoxian,311,51530,Z,114.77612,37.75628
58,38,辛集,辛集市,3,xinji,311,52360,X,115.20626,37.94079
59,38,晋州,晋州市,3,jinzhou,311,52260,J,115.04348,38.03135
60,38,新乐,新乐市,3,xinle,311,50700,X,114.68985,38.34417
62,61,路南,路南区,3,lunan,315,63000,L,118.15431,39.62505
63,61,路北,路北区,3,lubei,315,63000,L,118.20079,39.62436
64,61,古冶,古冶区,3,guye,315,63100,G,118.45803,39.71993
65,61,开平,开平区,3,kaiping,315,63021,K,118.26171,39.67128
66,61,丰南,丰南区,3,fengnan,315,63300,F,118.11282,39.56483
67,61,丰润,丰润区,3,fengrun,315,64000,F,118.12976,39.8244
68,61,曹妃甸,曹妃甸区,3,caofeidian,315,63200,C,118.460379,39.27307
69,61,滦县,滦县,3,luanxian,315,63700,L,118.70346,39.74056
70,61,滦南,滦南县,3,luannan,315,63500,L,118.6741,39.5039
71,61,乐亭,乐亭县,3,laoting,315,63600,L,118.9125,39.42561
72,61,迁西,迁西县,3,qianxi,315,64300,Q,118.31616,40.14587
73,61,玉田,玉田县,3,yutian,315,64100,Y,117.7388,39.90049
74,61,遵化,遵化市,3,zunhua,315,64200,Z,117.96444,40.18741
75,61,迁安,迁安市,3,qian'an,315,64400,Q,118.70068,39.99833
77,76,海港,海港区,3,haigang,335,66000,H,119.61046,39.9345
78,76,山海关,山海关区,3,shanhaiguan,335,66200,S,119.77563,39.97869
79,76,北戴河,北戴河区,3,beidaihe,335,66100,B,119.48388,39.83408
80,76,青龙,青龙满族自治县,3,qinglong,335,66500,Q,118.95242,40.40743
81,76,昌黎,昌黎县,3,changli,335,66600,C,119.16595,39.70884
82,76,抚宁,抚宁县,3,funing,335,66300,F,119.24487,39.87538
83,76,卢龙,卢龙县,3,lulong,335,66400,L,118.89288,39.89176
85,84,邯山,邯山区,3,hanshan,310,56001,H,114.48375,36.60006
86,84,丛台,丛台区,3,congtai,310,56002,C,114.49343,36.61847
87,84,复兴,复兴区,3,fuxing,310,56003,F,114.45928,36.61134
88,84,峰峰矿区,峰峰矿区,3,fengfengkuangqu,310,56200,F,114.21148,36.41937
89,84,邯郸,邯郸县,3,handan,310,56101,H,114.53103,36.59385
90,84,临漳,临漳县,3,linzhang,310,56600,L,114.6195,36.33461
91,84,成安,成安县,3,cheng'an,310,56700,C,114.66995,36.44411
92,84,大名,大名县,3,daming,310,56900,D,115.15362,36.27994
93,84,涉县,涉县,3,shexian,310,56400,S,113.69183,36.58072
94,84,磁县,磁县,3,cixian,310,56500,C,114.37387,36.37392
95,84,肥乡,肥乡县,3,feixiang,310,57550,F,114.79998,36.54807
96,84,永年,永年县,3,yongnian,310,57150,Y,114.48925,36.78356
97,84,邱县,邱县,3,qiuxian,310,57450,Q,115.17407,36.82082
98,84,鸡泽,鸡泽县,3,jize,310,57350,J,114.8742,36.92374
99,84,广平,广平县,3,guangping,310,57650,G,114.94653,36.48046
100,84,馆陶,馆陶县,3,guantao,310,57750,G,115.29913,36.53719
101,84,魏县,魏县,3,weixian,310,56800,W,114.93518,36.36171
102,84,曲周,曲周县,3,quzhou,310,57250,Q,114.95196,36.77671
103,84,武安,武安市,3,wu'an,310,56300,W,114.20153,36.69281
105,104,桥东,桥东区,3,qiaodong,319,54001,Q,114.50725,37.06801
106,104,桥西,桥西区,3,qiaoxi,319,54000,Q,114.46803,37.05984
107,104,邢台,邢台县,3,xingtai,319,54001,X,114.56575,37.0456
108,104,临城,临城县,3,lincheng,319,54300,L,114.50387,37.43977
109,104,内丘,内丘县,3,neiqiu,319,54200,N,114.51212,37.28671
110,104,柏乡,柏乡县,3,baixiang,319,55450,B,114.69332,37.48242
111,104,隆尧,隆尧县,3,longyao,319,55350,L,114.77615,37.35351
112,104,任县,任县,3,renxian,319,55150,R,114.6842,37.12575
113,104,南和,南和县,3,nanhe,319,54400,N,114.68371,37.00488
114,104,宁晋,宁晋县,3,ningjin,319,55550,N,114.92117,37.61696
115,104,巨鹿,巨鹿县,3,julu,319,55250,J,115.03524,37.21801
116,104,新河,新河县,3,xinhe,319,55650,X,115.24987,37.52718
117,104,广宗,广宗县,3,guangzong,319,54600,G,115.14254,37.0746
118,104,平乡,平乡县,3,pingxiang,319,54500,P,115.03002,37.06317
119,104,威县,威县,3,weixian,319,54700,W,115.2637,36.9768
120,104,清河,清河县,3,qinghe,319,54800,Q,115.66479,37.07122
121,104,临西,临西县,3,linxi,319,54900,L,115.50097,36.87078
122,104,南宫,南宫市,3,nangong,319,55750,N,115.39068,37.35799
123,104,沙河,沙河市,3,shahe,319,54100,S,114.4981,36.8577
125,124,新市,新市区,3,xinshi,312,71051,X,115.4587,38.87751
126,124,北市,北市区,3,beishi,312,71000,B,115.49715,38.88322
127,124,南市,南市区,3,nanshi,312,71001,N,115.52859,38.85455
128,124,满城,满城县,3,mancheng,312,72150,M,115.32296,38.94972
129,124,清苑,清苑县,3,qingyuan,312,71100,Q,115.49267,38.76709
130,124,涞水,涞水县,3,laishui,312,74100,,115.71517,39.39404
131,124,阜平,阜平县,3,fuping,312,73200,F,114.19683,38.84763
132,124,徐水,徐水县,3,xushui,312,72550,X,115.65829,39.02099
133,124,定兴,定兴县,3,dingxing,312,72650,D,115.80786,39.26312
134,124,唐县,唐县,3,tangxian,312,72350,T,114.98516,38.74513
135,124,高阳,高阳县,3,gaoyang,312,71500,G,115.7788,38.70003
136,124,容城,容城县,3,rongcheng,312,71700,R,115.87158,39.0535
137,124,涞源,涞源县,3,laiyuan,312,74300,,114.69128,39.35388
138,124,望都,望都县,3,wangdu,312,72450,W,115.1567,38.70996
