id,pid,shortname,name,level,pinyin,code,zip_code,first,lng,lat
2,1,北京,北京市,2,beijing,10,100000,B,116.405285,39.904989
20,19,天津,天津市,2,tianjin,22,300000,T,117.190182,39.125596
38,37,石家庄,石家庄市,2,shijiazhuang,311,50011,S,114.502461,38.045474
61,37,唐山,唐山市,2,tangshan,315,63000,T,118.175393,39.635113
76,37,秦皇岛,秦皇岛市,2,qinhuangdao,335,66000,Q,119.586579,39.942531
84,37,邯郸,邯郸市,2,handan,310,56002,H,114.490686,36.612273
104,37,邢台,邢台市,2,xingtai,319,54001,X,114.508851,37.0682
124,37,保定,保定市,2,baoding,312,71052,B,115.482331,38.867657
150,37,张家口,张家口市,2,zhangjiakou,313,75000,Z,114.884091,40.811901
168,37,承德,承德市,2,chengde,314,67000,C,117.939152,40.976204
180,37,沧州,沧州市,2,cangzhou,317,61001,C,116.857461,38.310582
197,37,廊坊,廊坊市,2,langfang,316,65000,L,116.713873,39.529244
208,37,衡水,衡水市,2,hengshui,318,53000,H,115.665993,37.735097
221,220,太原,太原市,2,taiyuan,351,30082,T,112.549248,37.857014
232,220,大同,大同市,2,datong,352,37008,D,113.295259,40.09031
244,220,阳泉,阳泉市,2,yangquan,353,45000,Y,113.583285,37.861188
250,220,长治,长治市,2,changzhi,355,46000,C,113.113556,36.191112
264,220,晋城,晋城市,2,jincheng,356,48000,J,112.851274,35.497553
271,220,朔州,朔州市,2,shuozhou,349,38500,S,112.433387,39.331261
278,220,晋中,晋中市,2,jinzhong,354,30600,J,112.736465,37.696495
290,220,运城,运城市,2,yuncheng,359,44000,Y,111.003957,35.022778
304,220,忻州,忻州市,2,xinzhou,350,34000,X,112.733538,38.41769
319,220,临汾,临汾市,2,linfen,357,41000,L,111.517973,36.08415
337,220,吕梁,吕梁市,2,lvliang,358,33000,L,111.134335,37.524366
352,351,呼和浩特,呼和浩特市,2,hohhot,471,10000,H,111.670801,40.818311
362,351,包头,包头市,2,baotou,472,14025,B,109.840405,40.658168
372,351,乌海,乌海市,2,wuhai,473,16000,W,106.825563,39.673734
376,351,赤峰,赤峰市,2,chifeng,476,24000,C,118.956806,42.275317
389,351,通辽,通辽市,2,tongliao,475,28000,T,122.263119,43.617429
398,351,鄂尔多斯,鄂尔多斯市,2,ordos,477,17004,E,109.99029,39.817179
407,351,呼伦贝尔,呼伦贝尔市,2,hulunber,470,21008,H,119.758168,49.215333
422,351,巴彦淖尔,巴彦淖尔市,2,bayannur,478,15001,B,107.416959,40.757402
430,351,乌兰察布,乌兰察布市,2,ulanqab,474,12000,W,113.114543,41.034126
442,351,兴安盟,兴安盟,2,hinggan,482,137401,X,122.070317,46.076268
449,351,锡林郭勒盟,锡林郭勒盟,2,xilingol,479,26000,X,116.090996,43.944018
462,351,阿拉善盟,阿拉善盟,2,alxa,483,750306,A,105.706422,38.844814
467,466,沈阳,沈阳市,2,shenyang,24,110013,S,123.429096,41.796767
481,466,大连,大连市,2,dalian,411,116011,D,121.618622,38.91459
492,466,鞍山,鞍山市,2,anshan,412,114001,A,122.995632,41.110626
500,466,抚顺,抚顺市,2,fushun,24,113008,F,123.921109,41.875956
508,466,本溪,本溪市,2,benxi,414,117000,B,123.770519,41.297909
515,466,丹东,丹东市,2,dandong,415,118000,D,124.383044,40.124296
522,466,锦州,锦州市,2,jinzhou,416,121000,J,121.135742,41.119269
530,466,营口,营口市,2,yingkou,417,115003,Y,122.235151,40.667432
537,466,阜新,阜新市,2,fuxin,418,123000,F,121.648962,42.011796
545,466,辽阳,辽阳市,2,liaoyang,419,111000,L,123.18152,41.269402
553,466,盘锦,盘锦市,2,panjin,427,124010,P,122.06957,41.124484
558,466,铁岭,铁岭市,2,tieling,24,112000,T,123.844279,42.290585
566,466,朝阳,朝阳市,2,chaoyang,421,122000,C,120.451176,41.576758
574,466,葫芦岛,葫芦岛市,2,huludao,429,125000,H,120.856394,40.755572
581,466,金普新区,金普新区,2,jinpuxinqu,411,116100,J,121.789627,39.055451
586,585,长春,长春市,2,changchun,431,130022,C,125.3245,43.886841
597,585,吉林,吉林市,2,jilin,432,132011,J,126.55302,43.843577
607,585,四平,四平市,2,siping,434,136000,S,124.370785,43.170344
614,585,辽源,辽源市,2,liaoyuan,437,136200,L,125.145349,42.902692
619,585,通化,通化市,2,tonghua,435,134001,T,125.936501,41.721177
627,585,白山,白山市,2,baishan,439,134300,B,126.427839,41.942505
634,585,松原,松原市,2,songyuan,438,138000,S,124.823608,45.118243
640,585,白城,白城市,2,baicheng,436,137000,B,122.841114,45.619026
646,585,延边,延边朝鲜族自治州,2,yanbian,433,133000,Y,129.513228,42.904823
656,655,哈尔滨,哈尔滨市,2,harbin,451,150010,H,126.642464,45.756967
675,655,齐齐哈尔,齐齐哈尔市,2,qiqihar,452,161005,Q,123.953486,47.348079
692,655,鸡西,鸡西市,2,jixi,467,158100,J,130.975966,45.300046
